workload,config,included_cases,cpu_cycles_sum,hw_cycles_sum,aggregate_speedup
matmul-benchmark,2x2,8,6653204,1650519,4.030977
matmul-benchmark,4x4,8,6654486,559017,11.903906
matmul-benchmark,8x8,8,6653739,214862,30.967500
attention-benchmark,2x2,16,4906350881,524657464,9.351532
attention-benchmark,4x4,16,4906344247,112259899,43.705226
attention-benchmark,8x8,16,4906328839,27001067,181.708702
vit,2x2,3,2291534135,285851230,8.016527
vit,4x4,3,2291533245,100326604,22.840734
vit,8x8,3,2291528437,51868788,44.179333
tiny-bert,2x2,1,535371192,72831724,7.350797
tiny-bert,4x4,1,535381788,27065654,19.780855
tiny-bert,8x8,1,534026928,14791933,36.102579
gpt2-prefill,2x2,4,1752193551,314667801,5.568392
gpt2-prefill,4x4,4,1680192794,109804180,15.301720
gpt2-prefill,8x8,4,1752205835,54232872,32.308926
